subgroup_column,level,pct_in_high_risk_group,pct_in_overall_population,overrepresentation
Income,8.0,14.563400141001107,30.87482296546465,-16.31142282446354
Income,7.0,13.344747708731997,17.692559102298723,-4.347811393566726
Income,6.0,14.915902910665727,15.239132803137597,-0.3232298924718702
Income,5.0,13.636821432168395,11.075280531648328,2.5615409005200664
Income,4.0,13.092960016114413,8.617496459309294,4.475463556805119
Income,3.0,11.864236076140598,7.00512038348404,4.859115692656558
Income,2.0,10.82687078255615,5.211896720775684,5.614974061780465
Income,1.0,7.755060932621613,4.283691033881686,3.471369898739927
Education,6.0,24.77590895357035,38.470421614554965,-13.694512660984614
Education,5.0,29.76130526739853,29.05109489051095,0.7102103768875807
Education,4.0,33.54819216436701,26.521407560736463,7.026784603630546
Education,3.0,7.644274347869875,4.087591240875913,3.5566831069939626
Education,2.0,4.169604189747205,1.7997603224752152,2.3698438672719897
Education,1.0,0.10071507704703395,0.06972437084649744,0.03099070620053651
NoDocbcCost,0.0,88.48826669352403,90.77895195555071,-2.2906852620266847
NoDocbcCost,1.0,11.51173330647598,9.221048044449287,2.2906852620266935
AnyHealthcare,1.0,96.24332762614564,94.58764571304063,1.6556819131050133
AnyHealthcare,0.0,3.756672373854366,5.4123542869593635,-1.6556819131049973
